Memory		Disk	CPU			TIME
33.25%		93%		2.00%		Thu 26 Jan 14:56:46 IST 2023
33.61%		93%		1.92%		Thu 26 Jan 14:56:50 IST 2023
33.39%		93%		1.92%		Thu 26 Jan 14:56:53 IST 2023
31.82%		93%		1.85%		Thu 26 Jan 14:56:56 IST 2023
32.86%		93%		1.78%		Thu 26 Jan 14:56:59 IST 2023
33.22%		93%		1.78%		Thu 26 Jan 14:57:02 IST 2023
33.18%		93%		1.72%		Thu 26 Jan 14:57:05 IST 2023
33.09%		93%		1.72%		Thu 26 Jan 14:57:09 IST 2023
31.23%		93%		1.74%		Thu 26 Jan 14:57:12 IST 2023
33.10%		93%		1.84%		Thu 26 Jan 14:57:15 IST 2023
