Memory		Disk	CPU			TIME
32.97%		93%		1.37%		Thu 26 Jan 14:52:40 IST 2023
34.05%		93%		1.37%		Thu 26 Jan 14:52:43 IST 2023
33.99%		93%		1.34%		Thu 26 Jan 14:52:46 IST 2023
33.92%		93%		1.39%		Thu 26 Jan 14:52:49 IST 2023
33.82%		93%		1.39%		Thu 26 Jan 14:52:52 IST 2023
32.45%		93%		1.36%		Thu 26 Jan 14:52:56 IST 2023
33.93%		93%		1.36%		Thu 26 Jan 14:52:59 IST 2023
33.95%		93%		1.41%		Thu 26 Jan 14:53:02 IST 2023
33.68%		93%		1.54%		Thu 26 Jan 14:53:05 IST 2023
33.75%		93%		1.54%		Thu 26 Jan 14:53:08 IST 2023
Memory		Disk	CPU			TIME
34.08%		93%		1.80%		Thu 26 Jan 14:53:38 IST 2023
32.07%		93%		1.98%		Thu 26 Jan 14:53:41 IST 2023
33.94%		93%		2.14%		Thu 26 Jan 14:53:44 IST 2023
34.13%		93%		2.14%		Thu 26 Jan 14:53:47 IST 2023
34.91%		93%		2.21%		Thu 26 Jan 14:53:50 IST 2023
33.92%		93%		2.21%		Thu 26 Jan 14:53:53 IST 2023
31.96%		93%		2.11%		Thu 26 Jan 14:53:57 IST 2023
33.67%		93%		2.26%		Thu 26 Jan 14:54:00 IST 2023
33.66%		93%		2.26%		Thu 26 Jan 14:54:03 IST 2023
34.60%		93%		2.16%		Thu 26 Jan 14:54:06 IST 2023
Memory		Disk	CPU			TIME
33.11%		93%		1.64%		Thu 26 Jan 15:00:12 IST 2023
